Experiment Type,Preconditioning/RateofConv,Derivative,Perturbation,Execution Time,Iterations,F(x),Norm Gradient(x),Experimental Order of Convergence,Converged
sampled,yes,adaptive_central,1e-08,80.1121609210968,13,49536.219981127375,2904.5480485142143,nan,False
sampled,yes,adaptive_central,1e-10,83.93426060676575,14,50412.579999655136,2940.542117051207,nan,False
sampled,yes,adaptive_central,1e-12,84.58287382125854,14,50412.72310785771,3040.1598736797914,nan,False
sampled,yes,exact,nan,36.6185040473938,12,2.980478722470496e-11,3.505511625449075e-06,1.0000257557145051,True
sampled,yes,forward,0.01,82.59247159957886,19,8.824392964076246,0.7300180230039112,nan,False
sampled,yes,forward,0.0001,83.36169219017029,19,8.892301133049054e-05,0.006197222534307987,nan,False
sampled,yes,forward,1e-06,48.44774317741394,11,3.903291803203345e-09,9.86390916611475e-06,1.0760528355461625,True
sampled,yes,forward,1e-08,80.58382081985474,15,50199.680565217684,2932.0641155327494,nan,False
sampled,yes,forward,1e-10,84.239755153656,9,50412.69833571288,2940.5380496453654,nan,False
sampled,yes,forward,1e-12,84.30201077461243,17,50412.723115862565,2911.2742140418472,nan,False
sampled,yes,backward,0.01,80.55619645118713,18,0.010844532591059476,8.861687355452693,nan,False
sampled,yes,backward,0.0001,80.59249830245972,18,1.3442034382176652e-05,0.012616514072136946,nan,False
sampled,yes,backward,1e-06,80.59043312072754,18,5.7660481757170176e-11,4.005098570826774e-05,nan,False
sampled,yes,backward,1e-08,83.4728934764862,14,50196.757544748034,2931.9182959547543,nan,False
sampled,yes,backward,1e-10,81.82848811149597,10,50412.6991006452,2940.539498915327,nan,False
sampled,yes,backward,1e-12,92.86391496658325,14,50412.72311677503,2910.910504803753,nan,False
sampled,yes,central,0.01,82.70359110832214,15,1.533673659836164e-06,0.06548904090598125,nan,False
sampled,yes,central,0.0001,67.0001118183136,12,3.706994929569051e-13,8.293545674835324e-06,0.9942898825292572,True
sampled,yes,central,1e-06,66.6006407737732,12,1.0952777372392091e-13,8.138602290072914e-07,0.9913241101469529,True
sampled,yes,central,1e-08,79.70090675354004,13,49523.03359584893,2904.0034227502188,nan,False
sampled,yes,central,1e-10,79.86485481262207,13,50412.596163120594,2940.7058854363186,nan,False
sampled,yes,central,1e-12,81.1664969921112,13,50412.723109412065,2932.7863487753807,nan,False
sampled,no,adaptive_forward,0.01,79.72398567199707,23,8.824392821003281,0.7300175230022002,nan,False
sampled,no,adaptive_forward,0.0001,82.22861766815186,24,8.89257523290228e-05,0.006197080093833267,nan,False
sampled,no,adaptive_forward,1e-06,38.264073610305786,11,3.753741580697694e-09,9.517431917102394e-06,1.0800883993263564,True
sampled,no,adaptive_forward,1e-08,80.66897749900818,19,49975.71799180038,2922.772724596913,nan,False
sampled,no,adaptive_forward,1e-10,81.8625419139862,20,50412.67407151392,2940.5380460446936,nan,False
sampled,no,adaptive_forward,1e-12,80.57466626167297,20,50412.72311460244,2958.8198501201855,nan,False
sampled,no,adaptive_backward,0.01,82.13930773735046,24,0.0075964198761054105,8.979418865850725,nan,False
sampled,no,adaptive_backward,0.0001,81.58967137336731,24,1.3436547438225498e-05,0.012617589930585675,nan,False
sampled,no,adaptive_backward,1e-06,80.15676045417786,23,8.154450792707359e-11,4.101899235313833e-05,nan,False
sampled,no,adaptive_backward,1e-08,81.98146557807922,19,50031.71921267526,2925.1164929065703,nan,False
sampled,no,adaptive_backward,1e-10,82.8861153125763,8,50412.701322492205,2940.543283216877,nan,False
sampled,no,adaptive_backward,1e-12,85.7502589225769,11,50412.72311758798,2914.618209497056,nan,False
sampled,no,adaptive_central,0.01,81.95747137069702,18,1.5309283630575319e-06,0.0655047928526648,nan,False
sampled,no,adaptive_central,0.0001,54.25648903846741,12,3.706988025802967e-13,8.293542631204022e-06,0.9942899488510302,True
sampled,no,adaptive_central,1e-06,54.229891300201416,12,1.144125383446908e-13,8.32797966989917e-07,0.9912746765892518,True
sampled,no,adaptive_central,1e-08,80.26777291297913,15,49403.31567747115,2899.025447362012,nan,False
sampled,no,adaptive_central,1e-10,83.41124439239502,16,50412.55659619982,2940.5420648415407,nan,False
sampled,no,adaptive_central,1e-12,83.50449085235596,16,50412.723104410135,2911.5742399600063,nan,False
sampled,no,exact,nan,29.08825969696045,12,2.980478700027813e-11,3.5055116234338423e-06,1.0000257556746408,True
sampled,no,forward,0.01,82.37416434288025,24,8.824392821003281,0.7300175230022321,nan,False
